Name,Forcefield,Lipid,Software,Files
Wu2014_-1_DCDA,charmm36,"DCDA - 13Z,16Z-docosadienoic acid - 22:2(13Z,16Z)",Charmm,"DCDA.pdb,  DCDA.str"
Wu2014_0_DCDA,charmm36,"DCDA - 13Z,16Z-docosadienoic acid - 22:2(13Z,16Z)",Charmm,"DCDA.pdb,  DCDA.str"
Wu2014_-1_ECPA,charmm36,"ECPA - EPA - 20:5(5Z,8Z,11Z,14Z,17Z)",Charmm,"ECPA.pdb,  ECPA.str"
Wu2014_0_ECPA,charmm36,"ECPA - EPA - 20:5(5Z,8Z,11Z,14Z,17Z)",Charmm,"ECPA.pdb,  ECPA.str"
Wu2014_-1_ECTA,charmm36,"ECTA - omega-3-Arachidonic acid - 20:4(8Z,11Z,14Z,17Z)",Charmm,"ECTA.pdb,  ECTA.str"
Wu2014_0_ECTA,charmm36,"ECTA - omega-3-Arachidonic acid - 20:4(8Z,11Z,14Z,17Z)",Charmm,"ECTA.pdb,  ECTA.str"
Wu2014_-1_TCTA,charmm36,"TCTA - 24:4(9Z,12Z,15Z,18Z)",Charmm,"TCTA.pdb,  TCTA.str"
Wu2014_0_TCTA,charmm36,"TCTA - 24:4(9Z,12Z,15Z,18Z)",Charmm,"TCTA.pdb,  TCTA.str"
Wu2014_-1_TCPT,charmm36,"TCPT - 24:5(6Z,9Z,12Z,15Z,18Z)",Charmm,"TCPT.pdb,  TCPT.str"
Wu2014_0_TCPT,charmm36,"TCPT - 24:5(6Z,9Z,12Z,15Z,18Z)",Charmm,"TCPT.pdb,  TCPT.str"
Wu2014_-1_TCPA,charmm36,"TCPA - 24:5(9Z,12Z,15Z,18Z,21Z)",Charmm,"TCPA.pdb,  TCPA.str"
Wu2014_0_TCPA,charmm36,"TCPA - 24:5(9Z,12Z,15Z,18Z,21Z)",Charmm,"TCPA.pdb,  TCPA.str"
Wu2014_-1_TCHA,charmm36,"TCHA - THA - 24:6(6Z,9Z,12Z,15Z,18Z,21Z)",Charmm,"TCHA.pdb,  TCHA.str"
Wu2014_0_TCHA,charmm36,"TCHA - THA - 24:6(6Z,9Z,12Z,15Z,18Z,21Z)",Charmm,"TCHA.pdb,  TCHA.str"
Wu2014_-1_HCPA,charmm36,"HCPA - 21:5(6Z,9Z,12Z,15Z,18Z)",Charmm,"HCPA.pdb,  HCPA.str"
Wu2014_0_HCPA,charmm36,"HCPA - 21:5(6Z,9Z,12Z,15Z,18Z)",Charmm,"HCPA.pdb,  HCPA.str"
Wu2014_-1_ECDA,charmm36,"ECDA - Dihomolinoleic acid - 20:2(11Z,14Z)",Charmm,"ECDA.pdb,  ECDA.str"
Wu2014_0_ECDA,charmm36,"ECDA - Dihomolinoleic acid - 20:2(11Z,14Z)",Charmm,"ECDA.pdb,  ECDA.str"
Wu2014_-1_DCPA,charmm36,"DCPA - DPA - 22:5(7Z,10Z,13Z,16Z,19Z)",Charmm,"DCPA.pdb,  DCPA.str"
Wu2014_0_DCPA,charmm36,"DCPA - DPA - 22:5(7Z,10Z,13Z,16Z,19Z)",Charmm,"DCPA.pdb,  DCPA.str"
Wu2014_-1_DCPT,charmm36,"DCPT - 22:5(4Z,7Z,10Z,13Z,16Z)",Charmm,"DCPT.pdb,  DCPT.str"
Wu2014_0_DCPT,charmm36,"DCPT - 22:5(4Z,7Z,10Z,13Z,16Z)",Charmm,"DCPT.pdb,  DCPT.str"
